Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Mitochondrial Inner Membrane (GO:0005743),1.2157603446020344e-06,3.802510371705597e-05,0,0,16.844534050179213,229.42492680245329,LDHB;NDUFA4;NDUFS5;NDUFA3;MRPS33;MRPS21;UQCRH
GO_Cellular_Component_2023,Organelle Inner Membrane (GO:0019866),2.3045517404276345e-06,3.802510371705597e-05,0,0,15.209245742092458,197.42550597669006,LDHB;NDUFA4;NDUFS5;NDUFA3;MRPS33;MRPS21;UQCRH
GO_Cellular_Component_2023,Mitochondrial Membrane (GO:0031966),1.9058822394649264e-05,0.00017689982024518246,0,0,10.799301919720769,117.36660209147198,LDHB;NDUFA4;NDUFS5;NDUFA3;MRPS33;MRPS21;UQCRH
GO_Cellular_Component_2023,Cytosolic Large Ribosomal Subunit (GO:0022625),2.680300306745189e-05,0.00017689982024518246,0,0,28.883597883597883,304.0575373509592,RPL31;RPL37A;RPL26;RPL39
GO_Cellular_Component_2023,Large Ribosomal Subunit (GO:0015934),2.680300306745189e-05,0.00017689982024518246,0,0,28.883597883597883,304.0575373509592,RPL31;RPL37A;RPL26;RPL39
GO_Cellular_Component_2023,Respiratory Chain Complex I (GO:0045271),0.00017677016297639521,0.0008333450540315775,0,0,33.92355371900826,293.1218999009033,NDUFA4;NDUFS5;NDUFA3
GO_Cellular_Component_2023,Mitochondrial Respiratory Chain Complex I (GO:0005747),0.00017677016297639521,0.0008333450540315775,0,0,33.92355371900826,293.1218999009033,NDUFA4;NDUFS5;NDUFA3
GO_Cellular_Component_2023,Polysomal Ribosome (GO:0042788),0.004303648846818684,0.017752551493127072,0,0,23.804347826086957,129.69303894694252,RPL31;RPL39
GO_Cellular_Component_2023,Dendrite Cytoplasm (GO:0032839),0.013527832353172247,0.04960205196163157,0,0,114.4375,492.425255996177,SOD1
GO_Cellular_Component_2023,Ribosome (GO:0005840),0.017308361199360512,0.05399387560692408,0,0,11.025278058645096,44.724763569859476,RPL31;RPL39
GO_Cellular_Component_2023,Neuron Projection Cytoplasm (GO:0120111),0.01799795853564136,0.05399387560692408,0,0,76.27777777777777,306.4457389803762,SOD1
GO_Cellular_Component_2023,Respiratory Chain Complex III (GO:0045275),0.02244863822263249,0.05698500471899016,0,0,57.197916666666664,217.15333915470615,UQCRH
GO_Cellular_Component_2023,Mitochondrial Respiratory Chain Complex III (GO:0005750),0.02244863822263249,0.05698500471899016,0,0,57.197916666666664,217.15333915470615,UQCRH
GO_Cellular_Component_2023,Respiratory Chain Complex IV (GO:0045277),0.057363609428083204,0.12619994074178306,0,0,19.038194444444443,54.41773092252102,NDUFA4
GO_Cellular_Component_2023,Mitochondrial Respiratory Chain Complex IV (GO:0005751),0.057363609428083204,0.12619994074178306,0,0,19.038194444444443,54.41773092252102,NDUFA4
GO_Cellular_Component_2023,Mitochondrial Matrix (GO:0005759),0.08502534664081131,0.17536477744667334,0,0,4.420836751435603,10.896504380418575,SSBP1;SOD1
GO_Cellular_Component_2023,Mitochondrial Intermembrane Space (GO:0005758),0.09932608728535637,0.19280946355392709,0,0,10.365530303030303,23.937606625869392,SOD1
GO_Cellular_Component_2023,Organelle Envelope Lumen (GO:0031970),0.11156110011003503,0.20078565616838837,0,0,9.116666666666667,19.994517029179207,SOD1
GO_Cellular_Component_2023,Peroxisome (GO:0005777),0.11560386264240542,0.20078565616838837,0,0,8.764423076923077,18.90999573514396,SOD1
GO_Cellular_Component_2023,Cytosolic Small Ribosomal Subunit (GO:0022627),0.13949208248211098,0.2253628824329218,0,0,7.11328125,14.011367501828445,RPS27L
GO_Cellular_Component_2023,Small Ribosomal Subunit (GO:0015935),0.14341274336640478,0.2253628824329218,0,0,6.896464646464646,13.393130816060111,RPS27L
GO_Cellular_Component_2023,Dendrite (GO:0030425),0.19653337520719233,0.2948000628107885,0,0,4.829787234042553,7.857692002399956,SOD1
GO_Cellular_Component_2023,Mitochondrial Envelope (GO:0005740),0.2218931991223554,0.2998396471437655,0,0,4.198302469135802,6.320792478155305,SOD1
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),0.22715124783618595,0.2998396471437655,0,0,2.338556610019863,3.4660664075691114,RPL31;RPL37A
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),0.22715124783618595,0.2998396471437655,0,0,2.338556610019863,3.4660664075691114,RPL31;RPL37A
GO_Cellular_Component_2023,Membrane Raft (GO:0045121),0.26019851604863375,0.33025196267711204,0,0,3.480769230769231,4.686195871210013,LDHB
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),0.35108477125944154,0.42910360931709524,0,0,1.682769726247987,1.7614014683036192,SSBP1;SOD1
GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),0.4958963048130397,0.5798074519493185,0,0,1.0940704757498652,0.7673683809440174,MGST3;RPL37A;PEBP1;RPS27L;ERH;SSBP1;SOD1
GO_Cellular_Component_2023,Nucleus (GO:0005634),0.5095277608039466,0.5798074519493185,0,0,1.083616298811545,0.7306509819558824,RPL37A;PEBP1;RPS27L;ERH;SSBP1;SOD1
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),0.6407600156419361,0.6990397907648414,0,0,0.9990530303030303,0.44467878625745333,MGST3
GO_Cellular_Component_2023,Nucleolus (GO:0005730),0.671680908120405,0.6990397907648414,0,0,0.9163179916317992,0.36466880327980056,RPL26
GO_Cellular_Component_2023,Nuclear Lumen (GO:0031981),0.6778567668022704,0.6990397907648414,0,0,0.9005486968449932,0.3501506884949945,RPL26
GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.8341870948601212,0.8341870948601212,0,0,0.5592738407699037,0.10139498685206487,RPL26
