Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Astrocyte Differentiation (GO:0048710),0.00010708957175652258,0.017348510624556657,0,0,250.2608695652174,2287.846067736409,EPHA4;NOG
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Mediated Immunity (GO:0002715),0.00010708957175652258,0.017348510624556657,0,0,250.2608695652174,2287.846067736409,KLRB1;SH2D1B
GO_Biological_Process_2023,B Cell Proliferation (GO:0042100),0.0007904979894535376,0.08537378286098206,0,0,62.5,446.4279652939854,CD79A;CD180
GO_Biological_Process_2023,Positive Regulation Of Interleukin-12 Production (GO:0032735),0.0023451691489232143,0.09138588067704301,0,0,33.2927536231884,201.60086531285216,CCR7;LTB
GO_Biological_Process_2023,Negative Regulation Of Neuron Projection Regeneration (GO:0070571),0.004322954647158145,0.09138588067704301,0,0,inf,inf,EPHA4
GO_Biological_Process_2023,Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090190),0.004322954647158145,0.09138588067704301,0,0,inf,inf,NOG
GO_Biological_Process_2023,Negative Regulation Of Axon Regeneration (GO:0048681),0.004322954647158145,0.09138588067704301,0,0,inf,inf,EPHA4
GO_Biological_Process_2023,Atrial Cardiac Muscle Tissue Development (GO:0003228),0.004322954647158145,0.09138588067704301,0,0,inf,inf,NOG
GO_Biological_Process_2023,Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189),0.004322954647158145,0.09138588067704301,0,0,inf,inf,NOG
GO_Biological_Process_2023,Positive Regulation Of Response To Biotic Stimulus (GO:0002833),0.005064842509704115,0.09138588067704301,0,0,21.68241965973535,114.60095981546304,CD180;SH2D1B
GO_Biological_Process_2023,Regulation Of Interleukin-12 Production (GO:0032655),0.0058946288581125834,0.09138588067704301,0,0,19.94086956521739,102.37071539121682,CCR7;LTB
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion (GO:0045785),0.0067823623005277625,0.09138588067704301,0,0,18.4573268921095,92.16536642317254,EPHA4;CCR7
GO_Biological_Process_2023,Establishment Of Lymphocyte Polarity (GO:0001767),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,CCR7
GO_Biological_Process_2023,Positive Regulation Of Humoral Immune Response (GO:0002922),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,CCR7
GO_Biological_Process_2023,Cell Differentiation In Hindbrain (GO:0021533),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,NOG
GO_Biological_Process_2023,Regulation Of Dendritic Cell Chemotaxis (GO:2000508),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,CCR7
GO_Biological_Process_2023,Pharyngeal Arch Artery Morphogenesis (GO:0061626),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,NOG
GO_Biological_Process_2023,Regulation Of Glial Cell Differentiation (GO:0045685),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,EPHA4
GO_Biological_Process_2023,Negative Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060394),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,NOG
GO_Biological_Process_2023,Pyrimidine-Containing Compound Metabolic Process (GO:0072527),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,DCK
GO_Biological_Process_2023,Motor Neuron Axon Guidance (GO:0008045),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,EPHA4
GO_Biological_Process_2023,Negative Regulation Of Astrocyte Differentiation (GO:0048712),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,NOG
GO_Biological_Process_2023,Neuron Projection Fasciculation (GO:0106030),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,EPHA4
GO_Biological_Process_2023,Dorsal/Ventral Pattern Formation (GO:0009953),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,NOG
GO_Biological_Process_2023,Negative Regulation Of Cardiac Muscle Tissue Growth (GO:0055022),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,NOG
GO_Biological_Process_2023,Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,CCR7
GO_Biological_Process_2023,Axonal Fasciculation (GO:0007413),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,EPHA4
GO_Biological_Process_2023,Embryonic Skeletal Joint Development (GO:0072498),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,NOG
GO_Biological_Process_2023,Negative Regulation Of Dendritic Cell Apoptotic Process (GO:2000669),0.008627993598953786,0.09138588067704301,0,0,239.875,1140.0642972519138,CCR7
GO_Biological_Process_2023,Positive Regulation Of Immune Response (GO:0050778),0.012657488968554766,0.09138588067704301,0,0,13.08924485125858,57.1935368666954,SH2D1B;CCR7
GO_Biological_Process_2023,Regulation Of Cellular Response To Hypoxia (GO:1900037),0.012915167792844047,0.09138588067704301,0,0,119.91666666666667,521.5598971797294,EPHA4
GO_Biological_Process_2023,Positive Regulation Of Glycoprotein Biosynthetic Process (GO:0010560),0.012915167792844047,0.09138588067704301,0,0,119.91666666666667,521.5598971797294,CCR7
GO_Biological_Process_2023,Negative Regulation Of Glial Cell Differentiation (GO:0045686),0.012915167792844047,0.09138588067704301,0,0,119.91666666666667,521.5598971797294,NOG
GO_Biological_Process_2023,Positive Regulation Of Kidney Development (GO:0090184),0.012915167792844047,0.09138588067704301,0,0,119.91666666666667,521.5598971797294,NOG
GO_Biological_Process_2023,Positive Regulation Of Morphogenesis Of An Epithelium (GO:1905332),0.012915167792844047,0.09138588067704301,0,0,119.91666666666667,521.5598971797294,NOG
GO_Biological_Process_2023,Regulation Of Humoral Immune Response (GO:0002920),0.012915167792844047,0.09138588067704301,0,0,119.91666666666667,521.5598971797294,CCR7
GO_Biological_Process_2023,Ventricular Compact Myocardium Morphogenesis (GO:0003223),0.012915167792844047,0.09138588067704301,0,0,119.91666666666667,521.5598971797294,NOG
