Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Adenyl Nucleotide Binding (GO:0030554),0.0002222352528501899,0.011761618234734249,0,0,110.88819875776397,932.7664716142953,DPYD;ALDH1A1
GO_Molecular_Function_2023,MHC Class II Protein Complex Binding (GO:0023026),0.0005076539677627428,0.011761618234734249,0,0,70.53359683794466,535.0474467222161,HLA-DRB5;HLA-DRA
GO_Molecular_Function_2023,Calcium-Dependent Phospholipid Binding (GO:0005544),0.000551325854753168,0.011761618234734249,0,0,67.46313799621929,506.18837374137536,DYSF;CPNE2
GO_Molecular_Function_2023,Flavin Adenine Dinucleotide Binding (GO:0050660),0.0014864746725986055,0.023783594761577688,0,0,39.750278706800444,258.8278959264692,KDM1B;DPYD
GO_Molecular_Function_2023,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",0.0027533037178445103,0.035242287588409735,0,0,12.045681818181817,71.00873704164891,IRF1;IRF2;KLF4
GO_Molecular_Function_2023,Retinal Dehydrogenase Activity (GO:0001758),0.004186136643260853,0.03956450524771757,0,0,372.1875,2038.090194366507,ALDH1A1
GO_Molecular_Function_2023,Transcription Cis-Regulatory Region Binding (GO:0000976),0.00656168117808486,0.03956450524771757,0,0,8.755640345056403,44.010300019467586,IRF1;IRF2;KLF4
GO_Molecular_Function_2023,MAP Kinase Tyrosine Phosphatase Activity (GO:0033550),0.006967560020348954,0.03956450524771757,0,0,186.07291666666666,924.1293141917889,DUSP6
GO_Molecular_Function_2023,MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017),0.006967560020348954,0.03956450524771757,0,0,186.07291666666666,924.1293141917889,DUSP6
GO_Molecular_Function_2023,Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330),0.006967560020348954,0.03956450524771757,0,0,186.07291666666666,924.1293141917889,DUSP6
GO_Molecular_Function_2023,Histone H3K4 Demethylase Activity (GO:0032453),0.006967560020348954,0.03956450524771757,0,0,186.07291666666666,924.1293141917889,KDM1B
GO_Molecular_Function_2023,G Protein-Coupled Receptor Activity (GO:0004930),0.007418344733947045,0.03956450524771757,0,0,16.986144290492117,83.29664296326975,C3AR1;S1PR3
