Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001910),0.0006055204585287864,0.004305108594335395,0,0,3851.5,28537.389633016963,DNASE1
GO_Biological_Process_2023,Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002886),0.0006920090564331876,0.004305108594335395,0,0,3301.1428571428573,24018.823327279286,DNASE1
GO_Biological_Process_2023,Neutrophil Activation Involved In Immune Response (GO:0002283),0.0009514527506419964,0.004305108594335395,0,0,2310.5,16075.351185074207,DNASE1
GO_Biological_Process_2023,Regulation Of RNA Export From Nucleus (GO:0046831),0.0009514527506419964,0.004305108594335395,0,0,2310.5,16075.351185074207,KHDRBS1
GO_Biological_Process_2023,Regulation Of Acute Inflammatory Response (GO:0002673),0.0011243967335608763,0.004305108594335395,0,0,1925.25,13073.42672833082,DNASE1
GO_Biological_Process_2023,Regulation Of Nucleocytoplasmic Transport (GO:0046822),0.0012973258924020698,0.004305108594335395,0,0,1650.0714285714287,10968.767547054482,KHDRBS1
GO_Biological_Process_2023,DNA Catabolic Process (GO:0006308),0.0013837849053220913,0.004305108594335395,0,0,1540.0,10137.716587605622,DNASE1
GO_Biological_Process_2023,Positive Regulation Of Translational Initiation (GO:0045948),0.0013837849053220913,0.004305108594335395,0,0,1540.0,10137.716587605622,KHDRBS1
GO_Biological_Process_2023,Neutrophil Activation (GO:0042119),0.0013837849053220913,0.004305108594335395,0,0,1540.0,10137.716587605622,DNASE1
GO_Biological_Process_2023,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),0.002939410720757238,0.007743878677190396,0,0,699.4545454545455,4077.502554539552,KHDRBS1
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),0.0031121834751428813,0.007743878677190396,0,0,659.4285714285714,3806.5057414448756,KHDRBS1
GO_Biological_Process_2023,Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824),0.0036304121616870188,0.007743878677190396,0,0,562.780487804878,3161.9310106010553,KHDRBS1
GO_Biological_Process_2023,Nucleobase-Containing Compound Catabolic Process (GO:0034655),0.0038031251905565155,0.007743878677190396,0,0,536.5581395348837,2989.6655381905425,DNASE1
GO_Biological_Process_2023,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",0.003975823281817792,0.007743878677190396,0,0,512.6666666666666,2833.777015572944,KHDRBS1
GO_Biological_Process_2023,Cell Cycle G1/S Phase Transition (GO:0044843),0.004148506434209141,0.007743878677190396,0,0,490.8085106382979,2692.0880698292044,KHDRBS1
GO_Biological_Process_2023,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),0.005011698062101214,0.00853883314346817,0,0,404.5263157894737,2142.3634748017894,KHDRBS1
GO_Biological_Process_2023,Regulation Of Translational Initiation (GO:0006446),0.00518429155139139,0.00853883314346817,0,0,390.77966101694915,2056.3302830001026,KHDRBS1
GO_Biological_Process_2023,Macromolecule Catabolic Process (GO:0009057),0.006995620561372925,0.010309335564128521,0,0,287.9375,1428.881481989451,DNASE1
GO_Biological_Process_2023,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",0.006995620561372925,0.010309335564128521,0,0,287.9375,1428.881481989451,KHDRBS1
GO_Biological_Process_2023,T Cell Receptor Signaling Pathway (GO:0050852),0.007426646378197064,0.01039730492947589,0,0,270.94117647058823,1328.3381266888198,KHDRBS1
GO_Biological_Process_2023,Positive Regulation Of Translation (GO:0045727),0.008374574129948777,0.0110971164771242,0,0,239.78125,1146.7670287348471,KHDRBS1
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),0.008719162946311872,0.0110971164771242,0,0,230.15,1091.424703560485,KHDRBS1
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.01061333180957588,0.012920577855135855,0,0,188.4672131147541,856.7049225013491,KHDRBS1
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),0.015598371456195408,0.018198100032227976,0,0,127.41666666666667,530.1283516809012,DNASE1
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),0.02416371022821093,0.027063355455596246,0,0,81.55357142857143,303.6160641664134,DNASE1
GO_Biological_Process_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),0.0324363365379847,0.03493143934859891,0,0,60.312997347480106,206.78166308010125,KHDRBS1
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),0.07018706403450768,0.07278658492467463,0,0,27.01818181818182,71.77626562370823,KHDRBS1
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),0.122165292787111,0.122165292787111,0,0,14.864790665751544,31.25144294530628,KHDRBS1
